RT	Name	EdU_4h_OCT4_12h_OFF_ES	EdU_4h_OCT4_12h_OFF_MS	EdU_4h_OCT4_12h_OFF_LS	EdU_4h_OCT4_ON_ES	EdU_4h_OCT4_ON_MS	EdU_4h_OCT4_ON_LS
ES	IZ1	0.646457	NA	NA	0.674927	NA	NA
ES	IZ2	0.593303	NA	NA	0.699123	NA	NA
ES	IZ3	0.811287	NA	NA	0.900304	NA	NA
ES	IZ4	0.519438	NA	NA	0.615248	NA	NA
ES	IZ5	0.797481	NA	NA	0.881959	NA	NA
ES	IZ6	0.84132	NA	NA	0.934544	NA	NA
ES	IZ7	0.960825	NA	NA	0.756755	NA	NA
ES	IZ8	0.868061	NA	NA	0.638618	NA	NA
ES	IZ9	0.758752	NA	NA	0.693281	NA	NA
ES	IZ10	0.867751	NA	NA	0.834789	NA	NA
ES	IZ11	0.450987	NA	NA	0.566824	NA	NA
ES	IZ12	0.425462	NA	NA	0.595622	NA	NA
ES	IZ13	0.631143	NA	NA	0.672837	NA	NA
ES	IZ14	0.520349	NA	NA	0.651967	NA	NA
ES	IZ15	0.501129	NA	NA	0.597706	NA	NA
ES	IZ16	0.573497	NA	NA	0.632776	NA	NA
ES	IZ17	0.670161	NA	NA	0.696205	NA	NA
ES	IZ18	0.915162	NA	NA	0.889026	NA	NA
ES	IZ19	0.85875	NA	NA	0.96084	NA	NA
ES	IZ20	0.919362	NA	NA	0.901121	NA	NA
ES	IZ21	0.778262	NA	NA	0.868593	NA	NA
ES	IZ22	0.980932	NA	NA	1.07476	NA	NA
ES	IZ23	0.869239	NA	NA	0.836878	NA	NA
ES	IZ24	0.840717	NA	NA	0.911169	NA	NA
ES	IZ25	0.791756	NA	NA	0.846869	NA	NA
ES	IZ26	0.6987	NA	NA	0.660317	NA	NA
ES	IZ27	0.696893	NA	NA	0.592292	NA	NA
ES	IZ28	0.770468	NA	NA	0.750479	NA	NA
ES	IZ29	0.805562	NA	NA	0.789685	NA	NA
ES	IZ30	1.13348	NA	NA	1.10901	NA	NA
ES	IZ31	1.16616	NA	NA	1.02342	NA	NA
ES	IZ32	1.03767	NA	NA	1.06059	NA	NA
ES	IZ33	0.77315	NA	NA	0.83936	NA	NA
ES	IZ34	0.673185	NA	NA	0.683688	NA	NA
ES	IZ35	0.718507	NA	NA	0.635679	NA	NA
ES	IZ36	0.53865	NA	NA	0.558451	NA	NA
ES	IZ37	0.545281	NA	NA	0.514222	NA	NA
ES	IZ38	1.0539	NA	NA	0.993815	NA	NA
ES	IZ39	0.683082	NA	NA	0.704975	NA	NA
ES	IZ40	0.962622	NA	NA	1.0944	NA	NA
ES	IZ41	0.890553	NA	NA	0.694557	NA	NA
ES	IZ42	0.786372	NA	NA	0.725027	NA	NA
ES	IZ43	0.656968	NA	NA	0.576406	NA	NA
ES	IZ44	0.550375	NA	NA	0.467893	NA	NA
ES	IZ45	1.17041	NA	NA	1.07521	NA	NA
ES	IZ46	0.92539	NA	NA	1.08858	NA	NA
ES	IZ47	0.723911	NA	NA	0.962498	NA	NA
ES	IZ48	1.06619	NA	NA	1.01301	NA	NA
ES	IZ49	0.498119	NA	NA	0.54219	NA	NA
ES	IZ50	0.600207	NA	NA	0.634018	NA	NA
ES	IZ51	0.5903	NA	NA	0.631513	NA	NA
ES	IZ52	0.846719	NA	NA	1.06894	NA	NA
ES	IZ53	0.872551	NA	NA	0.840624	NA	NA
ES	IZ54	0.757247	NA	NA	0.752134	NA	NA
ES	IZ55	0.73502	NA	NA	0.7705	NA	NA
ES	IZ56	0.64975	NA	NA	0.651141	NA	NA
ES	IZ57	0.751236	NA	NA	0.76132	NA	NA
ES	IZ58	0.666881	NA	NA	0.815991	NA	NA
ES	IZ59	0.608335	NA	NA	0.654067	NA	NA
ES	IZ60	0.739236	NA	NA	0.823105	NA	NA
ES	IZ61	0.855725	NA	NA	1.05348	NA	NA
ES	IZ62	1.11308	NA	NA	1.14492	NA	NA
ES	IZ63	0.876442	NA	NA	0.962923	NA	NA
ES	IZ64	0.785153	NA	NA	0.872772	NA	NA
ES	IZ65	1.21544	NA	NA	1.27473	NA	NA
ES	IZ66	1.0689	NA	NA	0.954187	NA	NA
ES	IZ67	0.596908	NA	NA	0.589375	NA	NA
ES	IZ68	0.659663	NA	NA	0.706228	NA	NA
ES	IZ69	0.465096	NA	NA	0.461214	NA	NA
ES	IZ70	0.530848	NA	NA	0.393191	NA	NA
ES	IZ71	0.916076	NA	NA	0.86234	NA	NA
ES	IZ72	0.847628	NA	NA	0.882357	NA	NA
ES	IZ73	0.968014	NA	NA	1.0464	NA	NA
ES	IZ74	0.916685	NA	NA	0.785532	NA	NA
ES	IZ75	0.667728	NA	NA	0.732048	NA	NA
ES	IZ76	0.788471	NA	NA	0.764665	NA	NA
ES	IZ77	0.77075	NA	NA	0.967512	NA	NA
ES	IZ78	0.674368	NA	NA	0.770073	NA	NA
ES	IZ79	0.696582	NA	NA	0.707058	NA	NA
ES	IZ80	0.616724	NA	NA	0.510893	NA	NA
ES	IZ81	0.625728	NA	NA	0.658625	NA	NA
ES	IZ82	1.07793	NA	NA	1.11695	NA	NA
ES	IZ83	0.981516	NA	NA	0.981266	NA	NA
ES	IZ84	0.805296	NA	NA	0.794706	NA	NA
ES	IZ85	1.02956	NA	NA	1.0009	NA	NA
ES	IZ86	0.772241	NA	NA	0.701617	NA	NA
ES	IZ87	0.751852	NA	NA	0.71207	NA	NA
ES	IZ88	0.796874	NA	NA	0.735448	NA	NA
ES	IZ89	1.00947	NA	NA	0.992541	NA	NA
ES	IZ90	0.972263	NA	NA	0.841495	NA	NA
ES	IZ91	0.649169	NA	NA	0.63527	NA	NA
ES	IZ92	0.662958	NA	NA	0.638189	NA	NA
ES	IZ93	0.723607	NA	NA	0.516741	NA	NA
ES	IZ94	0.639237	NA	NA	0.566809	NA	NA
ES	IZ95	0.621517	NA	NA	0.670325	NA	NA
ES	IZ96	0.709796	NA	NA	0.550953	NA	NA
ES	IZ97	0.768049	NA	NA	0.768834	NA	NA
ES	IZ98	0.76984	NA	NA	0.86734	NA	NA
ES	IZ99	0.717021	NA	NA	0.801392	NA	NA
ES	IZ100	0.765945	NA	NA	0.842298	NA	NA
ES	IZ101	0.621814	NA	NA	0.638615	NA	NA
ES	IZ102	0.601715	NA	NA	0.733779	NA	NA
ES	IZ103	0.610421	NA	NA	0.692455	NA	NA
ES	IZ104	1.06594	NA	NA	1.17288	NA	NA
ES	IZ105	0.789972	NA	NA	0.941227	NA	NA
ES	IZ106	0.756055	NA	NA	0.964976	NA	NA
ES	IZ107	0.762665	NA	NA	0.800567	NA	NA
ES	IZ108	0.741044	NA	NA	0.804308	NA	NA
ES	IZ109	0.730228	NA	NA	0.734607	NA	NA
ES	IZ110	0.682493	NA	NA	0.697891	NA	NA
ES	IZ111	0.815792	NA	NA	0.826013	NA	NA
ES	IZ112	0.780059	NA	NA	0.958751	NA	NA
ES	IZ113	0.866226	NA	NA	0.730004	NA	NA
ES	IZ114	0.700809	NA	NA	0.610227	NA	NA
ES	IZ115	0.684585	NA	NA	0.611909	NA	NA
ES	IZ116	0.756352	NA	NA	0.738375	NA	NA
ES	IZ117	0.913086	NA	NA	1.00675	NA	NA
ES	IZ118	0.967427	NA	NA	0.986715	NA	NA
ES	IZ119	0.998655	NA	NA	1.0848	NA	NA
ES	IZ120	0.809786	NA	NA	0.890704	NA	NA
ES	IZ121	0.845821	NA	NA	0.654884	NA	NA
ES	IZ122	0.667166	NA	NA	0.617744	NA	NA
ES	IZ123	0.47886	NA	NA	0.50249	NA	NA
ES	IZ124	0.721216	NA	NA	0.667001	NA	NA
ES	IZ125	0.688484	NA	NA	0.695785	NA	NA
ES	IZ126	0.638955	NA	NA	0.560548	NA	NA
ES	IZ127	0.789077	NA	NA	0.666172	NA	NA
ES	IZ128	0.680384	NA	NA	0.581845	NA	NA
ES	IZ129	0.543463	NA	NA	0.509212	NA	NA
ES	IZ130	0.574687	NA	NA	0.51881	NA	NA
ES	IZ131	0.57349	NA	NA	0.474154	NA	NA
ES	IZ132	0.547063	NA	NA	0.462476	NA	NA
ES	IZ133	0.540456	NA	NA	0.454124	NA	NA
ES	IZ134	0.760249	NA	NA	0.676165	NA	NA
ES	IZ135	0.702294	NA	NA	0.615235	NA	NA
ES	IZ136	0.772854	NA	NA	0.686187	NA	NA
ES	IZ137	0.766245	NA	NA	0.778015	NA	NA
ES	IZ138	0.815501	NA	NA	0.772187	NA	NA
ES	IZ139	1.08844	NA	NA	1.00968	NA	NA
ES	IZ140	0.759048	NA	NA	0.840621	NA	NA
ES	IZ141	0.685482	NA	NA	0.606898	NA	NA
ES	IZ142	0.596018	NA	NA	0.638184	NA	NA
ES	IZ143	0.574986	NA	NA	0.605236	NA	NA
ES	IZ144	0.88575	NA	NA	0.871081	NA	NA
ES	IZ145	0.78968	NA	NA	0.755058	NA	NA
ES	IZ146	0.772852	NA	NA	0.732108	NA	NA
ES	IZ147	0.910073	NA	NA	0.854814	NA	NA
ES	IZ148	0.801067	NA	NA	0.771314	NA	NA
ES	IZ149	0.435675	NA	NA	0.510054	NA	NA
ES	IZ150	0.750347	NA	NA	0.774249	NA	NA
ES	IZ151	0.717598	NA	NA	0.771345	NA	NA
ES	IZ152	0.660858	NA	NA	0.688716	NA	NA
ES	IZ153	0.803477	NA	NA	1.00342	NA	NA
ES	IZ154	0.664475	NA	NA	0.765083	NA	NA
ES	IZ155	0.74643	NA	NA	0.682429	NA	NA
ES	IZ156	0.72753	NA	NA	0.713332	NA	NA
ES	IZ157	0.7062	NA	NA	0.630256	NA	NA
ES	IZ158	0.705602	NA	NA	0.651973	NA	NA
ES	IZ159	0.652713	NA	NA	0.692821	NA	NA
ES	IZ160	0.781251	NA	NA	0.643623	NA	NA
ES	IZ161	0.691785	NA	NA	0.673655	NA	NA
ES	IZ162	0.694496	NA	NA	0.718334	NA	NA
ES	IZ163	0.707409	NA	NA	0.812241	NA	NA
ES	IZ164	0.882156	NA	NA	0.779693	NA	NA
ES	IZ165	0.857525	NA	NA	0.759643	NA	NA
ES	IZ166	0.806479	NA	NA	0.669071	NA	NA
ES	IZ167	0.759646	NA	NA	0.645278	NA	NA
ES	IZ168	0.915479	NA	NA	0.861915	NA	NA
ES	IZ169	0.822682	NA	NA	0.63944	NA	NA
ES	IZ170	0.574082	NA	NA	0.511718	NA	NA
ES	IZ171	0.359972	NA	NA	0.326789	NA	NA
ES	IZ172	0.690899	NA	NA	0.761749	NA	NA
ES	IZ173	0.910978	NA	NA	1.0944	NA	NA
ES	IZ174	0.895653	NA	NA	0.787606	NA	NA
ES	IZ175	0.791463	NA	NA	0.638604	NA	NA
ES	IZ176	0.735318	NA	NA	0.742535	NA	NA
ES	IZ177	0.598408	NA	NA	0.618997	NA	NA
ES	IZ178	0.574991	NA	NA	0.548447	NA	NA
ES	IZ179	0.652166	NA	NA	0.563487	NA	NA
ES	IZ180	0.601114	NA	NA	0.515069	NA	NA
ES	IZ181	0.75725	NA	NA	0.89656	NA	NA
ES	IZ182	0.770453	NA	NA	0.910744	NA	NA
ES	IZ183	0.763867	NA	NA	0.784287	NA	NA
ES	IZ184	0.700504	NA	NA	0.911992	NA	NA
ES	IZ185	0.807672	NA	NA	0.842293	NA	NA
ES	IZ186	0.704075	NA	NA	0.744203	NA	NA
ES	IZ187	0.747951	NA	NA	0.843981	NA	NA
ES	IZ188	0.815799	NA	NA	0.992128	NA	NA
ES	IZ189	0.883055	NA	NA	0.948325	NA	NA
ES	IZ190	0.870125	NA	NA	1.02428	NA	NA
ES	IZ191	0.730542	NA	NA	0.649499	NA	NA
ES	IZ192	1.88182	NA	NA	1.76164	NA	NA
ES	IZ193	3.14969	NA	NA	2.74813	NA	NA
ES	IZ194	0.849419	NA	NA	0.908252	NA	NA
ES	IZ195	0.695998	NA	NA	0.594383	NA	NA
ES	IZ196	0.784258	NA	NA	0.641519	NA	NA
ES	IZ197	0.681568	NA	NA	0.768405	NA	NA
ES	IZ198	0.611566	NA	NA	0.575946	NA	NA
ES	IZ199	0.624498	NA	NA	0.529229	NA	NA
ES	IZ200	0.540461	NA	NA	0.469994	NA	NA
ES	IZ201	0.841919	NA	NA	0.852322	NA	NA
ES	IZ202	0.879369	NA	NA	0.900651	NA	NA
ES	IZ203	0.843115	NA	NA	0.920771	NA	NA
ES	IZ204	0.832304	NA	NA	0.896549	NA	NA
ES	IZ205	0.954492	NA	NA	1.07936	NA	NA
ES	IZ206	0.864727	NA	NA	1.06352	NA	NA
ES	IZ207	0.855738	NA	NA	1.13029	NA	NA
ES	IZ208	0.919077	NA	NA	1.0823	NA	NA
ES	IZ209	1.03108	NA	NA	0.982137	NA	NA
ES	IZ210	1.05991	NA	NA	1.11195	NA	NA
ES	IZ211	1.29589	NA	NA	1.31351	NA	NA
ES	IZ212	1.10885	NA	NA	1.19417	NA	NA
ES	IZ213	1.11845	NA	NA	1.04767	NA	NA
ES	IZ214	0.90496	NA	NA	0.679501	NA	NA
ES	IZ215	1.01006	NA	NA	1.02636	NA	NA
ES	IZ216	1.89242	NA	NA	1.75671	NA	NA
ES	IZ217	0.696597	NA	NA	0.88405	NA	NA
ES	IZ218	0.642183	NA	NA	0.610584	NA	NA
ES	IZ219	0.936514	NA	NA	1.02763	NA	NA
ES	IZ220	0.843122	NA	NA	0.778856	NA	NA
ES	IZ221	0.566881	NA	NA	0.630252	NA	NA
ES	IZ222	0.526951	NA	NA	0.568903	NA	NA
ES	IZ223	0.515241	NA	NA	0.53051	NA	NA
ES	IZ224	0.58791	NA	NA	0.581006	NA	NA
ES	IZ225	0.530851	NA	NA	0.515908	NA	NA
ES	IZ226	0.564779	NA	NA	0.565562	NA	NA
ES	IZ227	0.785425	NA	NA	0.855607	NA	NA
ES	IZ228	0.814915	NA	NA	0.976695	NA	NA
ES	IZ229	0.844017	NA	NA	1.07686	NA	NA
ES	IZ230	0.854234	NA	NA	0.919102	NA	NA
ES	IZ231	0.905585	NA	NA	0.919079	NA	NA
ES	IZ232	0.780654	NA	NA	0.80473	NA	NA
ES	IZ233	0.784863	NA	NA	0.796804	NA	NA
ES	IZ234	0.814298	NA	NA	0.684515	NA	NA
ES	IZ235	0.817284	NA	NA	0.776349	NA	NA
ES	IZ236	0.760555	NA	NA	0.782602	NA	NA
