ATAC_peak	RT	ATAC_OCT4.ON	ATAC_OCT4.OFF
ATAC25286	ES	2.33523	3.35711
ATAC25287	ES	1.31531	1.91775
ATAC25288	ES	1.24796	1.744
ATAC25289	ES	0.948576	1.40445
ATAC25290	ES	1.39555	1.21704
ATAC25291	ES	1.61476	1.73863
ATAC25292	ES	1.16784	1.74408
ATAC25293	ES	1.41651	1.99946
ATAC25294	ES	1.08777	1.03492
ATAC25302	ES	1.89291	2.37418
ATAC25303	ES	0.847446	0.934473
ATAC25304	ES	0.889523	0.869247
ATAC25305	ES	2.73404	3.26787
ATAC25306	ES	1.51357	1.81451
ATAC25307	ES	1.19309	1.79866
ATAC25308	ES	1.36605	1.65713
ATAC25309	ES	0.973894	1.20082
ATAC25310	ES	1.26905	1.48318
ATAC25311	ES	1.41241	1.86363
ATAC25312	ES	0.847378	0.896478
ATAC25313	ES	1.43978	1.97765
ATAC25314	ES	1.02452	1.36374
ATAC25315	ES	1.16047	1.62859
ATAC25316	ES	1.11702	1.34728
ATAC25317	ES	1.50937	2.14073
ATAC27197	ES	0.704041	0.923623
ATAC27198	ES	1.1534	0.783934
ATAC27199	ES	1.34912	0.369448
ATAC27200	ES	1.09618	1.02143
ATAC27201	ES	0.706139	0.795892
ATAC27202	ES	0.82214	0.831322
ATAC27209	ES	0.767249	0.7444
ATAC27210	ES	4.87598	4.92271
ATAC27211	ES	3.53797	3.06852
ATAC27212	ES	2.12354	2.00296
ATAC27213	ES	3.50763	3.30057
ATAC27214	ES	0.712498	0.456451
ATAC27215	ES	0.716672	0.461873
ATAC27216	ES	3.67019	3.42587
ATAC27243	ES	3.00785	3.63989
ATAC27244	ES	1.80582	0.675504
ATAC27245	ES	1.00118	0.361263
ATAC27246	ES	0.914601	0.907193
ATAC27247	ES	1.39972	1.14649
ATAC27248	ES	1.06384	0.997767
ATAC27259	ES	0.763033	0.527014
ATAC27260	ES	1.11508	1.57789
ATAC27261	ES	1.1045	1.50195
ATAC27262	ES	4.02471	2.4425
ATAC27263	ES	1.51342	1.33655
ATAC27264	ES	1.53025	0.755109
ATAC27265	ES	3.21313	2.78478
ATAC27266	ES	2.4748	2.21678
ATAC27267	ES	3.98118	3.35663
ATAC27268	ES	0.931571	0.657342
ATAC27325	ES	3.84502	4.60449
ATAC27326	ES	0.654536	0.562318
ATAC27327	ES	1.88883	1.44519
ATAC27328	ES	2.66866	1.28758
ATAC27329	ES	1.40361	0.771225
ATAC27330	ES	0.897981	0.967018
ATAC27331	ES	1.36361	0.575865
ATAC27332	ES	1.06242	1.10823
ATAC27346	ES	1.96013	2.21636
ATAC27347	ES	2.09965	2.95568
ATAC27348	ES	2.21766	1.30947
ATAC27349	ES	2.23238	2.42584
ATAC27350	ES	1.55951	1.41218
ATAC27351	ES	2.65151	2.50125
ATAC27434	ES	1.02014	1.14345
ATAC27446	ES	0.978131	0.934581
ATAC27447	ES	3.49517	2.41792
ATAC27448	ES	0.746231	0.760738
ATAC27449	ES	3.38557	3.72166
ATAC27450	ES	0.691215	0.537652
ATAC27451	ES	1.62741	1.11395
ATAC27452	ES	1.35331	1.07031
ATAC27453	ES	1.38275	1.91767
ATAC27454	ES	2.10358	1.88513
ATAC27455	ES	0.652376	0.688558
ATAC27456	ES	0.746143	0.738826
ATAC27457	ES	0.902032	0.939809
ATAC27458	ES	2.5212	3.01525
ATAC27459	ES	1.59785	1.70871
ATAC27460	ES	1.21843	0.978005
ATAC27461	ES	2.45503	1.6245
ATAC27462	ES	2.46282	2.02653
ATAC27463	ES	1.97731	2.35805
ATAC27464	ES	1.16364	0.858385
ATAC27465	ES	2.36188	1.2212
ATAC27466	ES	2.11197	2.17299
ATAC27467	ES	1.12572	1.44523
ATAC27468	ES	0.855825	0.730776
ATAC27469	ES	0.813278	0.771268
ATAC27470	ES	2.25973	2.23308
ATAC27485	ES	0.872549	1.03742
ATAC27486	ES	1.42504	1.66227
ATAC27487	ES	1.15481	0.966839
ATAC27488	ES	3.78092	4.17711
ATAC27489	ES	0.911682	0.854286
ATAC27490	ES	2.10387	2.03201
ATAC27491	ES	1.5681	1.0812
ATAC27492	ES	1.61582	1.42213
ATAC27493	ES	0.775772	0.891085
ATAC27494	ES	1.39083	1.84098
ATAC27495	ES	1.67943	1.62465
ATAC27496	ES	2.76219	2.60887
ATAC27497	ES	1.00764	0.874826
ATAC27498	ES	1.48823	1.63545
ATAC27499	ES	1.07399	1.37451
ATAC27500	ES	0.838866	1.14082
ATAC27521	ES	2.02369	1.22249
ATAC27522	ES	0.989625	1.60809
ATAC27523	ES	0.704065	0.736208
ATAC27524	ES	0.636637	0.63023
ATAC27525	ES	1.97735	1.65725
ATAC27526	ES	2.43221	2.37415
ATAC27527	ES	0.96859	0.957564
ATAC27544	ES	0.809415	0.738788
ATAC27545	ES	0.674497	0.619314
ATAC27546	ES	1.90972	2.27898
ATAC27547	ES	1.76633	2.20022
ATAC27548	ES	1.2826	1.33372
ATAC27549	ES	2.25142	2.09734
ATAC27550	ES	0.688264	0.71307
ATAC27558	ES	1.63997	1.18163
ATAC27559	ES	3.70377	1.76575
ATAC27560	ES	4.17893	4.35018
ATAC27561	ES	4.03407	3.50673
ATAC27562	ES	7.77389	6.54427
ATAC27563	ES	0.830559	0.516179
ATAC27564	ES	2.84777	3.26236
ATAC27578	ES	1.76007	1.11094
ATAC27579	ES	1.78047	1.08112
ATAC27580	ES	0.708286	0.391149
ATAC220	ES	1.23111	1.12467
ATAC221	ES	0.746219	0.429291
ATAC222	ES	5.25056	1.37991
ATAC223	ES	0.927545	0.630252
ATAC26008	ES	0.978135	1.02144
ATAC26009	ES	4.04675	2.71208
ATAC26010	ES	1.57214	0.575713
ATAC26011	ES	1.58106	1.80922
ATAC26012	ES	1.74068	0.575843
ATAC26013	ES	1.52619	1.40726
ATAC26014	ES	1.00758	0.787828
ATAC26015	ES	1.5684	0.440162
ATAC26016	ES	1.28545	0.548774
ATAC26017	ES	3.74345	2.86823
ATAC26082	ES	1.7444	1.91114
ATAC26083	ES	3.48255	3.97175
ATAC26084	ES	0.868446	0.842074
ATAC26085	ES	0.729329	0.945421
ATAC26086	ES	0.973746	0.896353
ATAC26087	ES	1.23106	0.728176
ATAC26120	ES	1.98994	1.83643
ATAC26121	ES	1.73284	1.91262
ATAC26122	ES	1.56415	0.912745
ATAC26123	ES	1.03288	0.700842
ATAC26124	ES	0.838984	0.320527
ATAC26125	ES	0.813683	0.575865
ATAC26126	ES	2.05673	2.21055
ATAC25926	ES	2.15015	1.68428
ATAC25927	ES	1.12983	0.684645
ATAC25929	ES	1.24159	0.752545
ATAC25930	ES	0.902201	0.907296
ATAC25931	ES	1.48831	1.59736
ATAC25934	ES	1.66944	2.06991
ATAC25935	ES	2.16215	2.54753
ATAC25936	ES	0.670361	0.521597
ATAC25937	ES	0.708253	0.461787
ATAC25938	ES	1.74407	1.04864
ATAC25939	ES	2.50854	0.662847
ATAC25940	ES	2.15858	2.02389
ATAC25941	ES	2.07395	2.36314
ATAC26335	ES	4.12999	4.323
ATAC26336	ES	1.22467	1.11103
ATAC26337	ES	1.1341	0.766073
ATAC26338	ES	0.893592	0.760515
ATAC26339	ES	0.69143	0.581336
ATAC26349	ES	3.98405	2.67271
ATAC26350	ES	1.90774	0.964313
ATAC26396	ES	1.11299	0.852822
ATAC26397	ES	1.15522	1.07589
ATAC26398	ES	0.817882	0.581439
ATAC26399	ES	1.72428	2.76001
ATAC26400	ES	2.42512	2.86294
ATAC26401	ES	3.08056	1.47184
ATAC26402	ES	0.834645	0.44546
ATAC26452	ES	1.11148	0.726184
ATAC26453	ES	6.65284	6.94898
ATAC26454	ES	5.58984	3.97129
ATAC26455	ES	2.14182	1.63538
ATAC26456	ES	3.96793	3.5651
ATAC26457	ES	0.853757	0.684639
ATAC26531	ES	0.969644	0.765997
ATAC26532	ES	1.70626	1.0255
ATAC26533	ES	3.09991	2.84996
ATAC26534	ES	2.4263	1.14905
ATAC26535	ES	3.54559	3.09134
ATAC26536	ES	2.34418	2.3581
ATAC26537	ES	2.205	1.25518
ATAC26542	ES	1.97504	1.74916
ATAC26543	ES	3.14005	2.9057
ATAC26583	ES	1.47565	1.59187
ATAC26584	ES	2.01528	1.81469
ATAC26585	ES	2.00691	2.15702
ATAC26586	ES	0.847429	0.73349
ATAC26587	ES	4.65456	4.79758
ATAC26589	ES	1.1678	0.956201
ATAC26590	ES	1.08736	1.1462
ATAC26591	ES	1.48779	1.48286
ATAC26603	ES	1.31469	0.825427
ATAC26604	ES	1.57684	1.01065
ATAC26605	ES	2.0575	2.11358
ATAC26606	ES	6.6234	7.13376
ATAC26618	ES	1.74547	0.581314
ATAC26619	ES	1.37869	1.33666
ATAC26620	ES	1.17632	0.700972
ATAC26621	ES	1.08776	0.342222
ATAC26622	ES	0.902222	0.494425
ATAC26623	ES	3.4024	3.87946
ATAC26624	ES	1.02444	0.662874
ATAC26635	ES	2.20673	2.0099
ATAC26636	ES	2.10152	2.05899
ATAC26637	ES	0.906426	1.17901
ATAC26638	ES	3.21673	0.994419
ATAC26639	ES	0.775682	0.380353
ATAC26640	ES	0.935665	0.68439
ATAC26641	ES	3.1237	3.2921
ATAC26642	ES	1.15096	0.967046
ATAC26692	ES	1.14259	1.09215
ATAC26693	ES	0.849486	0.668236
ATAC26694	ES	1.42084	1.25507
ATAC26695	ES	2.01931	1.00505
ATAC26696	ES	0.99053	0.505232
ATAC26697	ES	3.4193	3.34688
ATAC26699	ES	1.08771	1.36367
ATAC26700	ES	3.4018	3.81615
ATAC26701	ES	0.990804	0.646704
ATAC26722	ES	3.2615	2.74759
ATAC26723	ES	0.750364	0.771437
ATAC26724	ES	0.986027	1.08605
ATAC26725	ES	2.02578	1.64051
ATAC26726	ES	1.44189	0.972436
ATAC26727	ES	1.21423	0.929078
ATAC26728	ES	2.47888	1.08125
ATAC26729	ES	2.4294	1.91651
ATAC26730	ES	1.8967	1.39041
ATAC26731	ES	0.613442	0.60126
ATAC26732	ES	0.923282	0.619439
ATAC26733	ES	4.46277	4.02316
ATAC26735	ES	2.10801	1.36915
ATAC26736	ES	1.76638	0.690002
ATAC26737	ES	2.49735	1.39997
ATAC26795	ES	3.6099	2.49668
ATAC26796	ES	1.1489	0.597709
ATAC26797	ES	1.17624	1.64612
ATAC26798	ES	1.11065	1.38235
ATAC26799	ES	0.884936	0.961205
ATAC26800	ES	0.64081	0.690029
ATAC26801	ES	0.817937	0.700994
ATAC26804	ES	1.91111	1.18974
ATAC26805	ES	0.750453	0.7553
ATAC26806	ES	2.79948	3.94462
ATAC26807	ES	1.82138	2.22758
ATAC26808	ES	1.50929	1.14102
ATAC26813	ES	1.24787	0.885623
ATAC26814	ES	1.61478	1.35282
ATAC26815	ES	2.35257	2.18429
ATAC26817	ES	0.699815	0.771556
ATAC26818	ES	2.34783	2.6183
ATAC26819	ES	0.897647	0.613778
ATAC26820	ES	2.15856	2.8198
ATAC26821	ES	0.623894	0.366763
ATAC26822	ES	0.744847	0.561484
ATAC26823	ES	2.15867	2.40694
ATAC26824	ES	0.957016	1.14091
ATAC26825	ES	0.914892	0.706367
ATAC26826	ES	2.95012	2.92716
ATAC26855	ES	2.50857	2.73829
ATAC26856	ES	1.09191	1.12458
ATAC26857	ES	2.37971	2.53959
ATAC26858	ES	0.990787	0.80403
ATAC26859	ES	0.67459	0.510773
ATAC26860	ES	1.31518	0.548687
ATAC26861	ES	2.80348	2.53698
ATAC26862	ES	2.4242	2.60243
ATAC26863	ES	1.09189	0.771437
ATAC26864	ES	2.20926	2.26553
ATAC26873	ES	1.17627	1.39088
ATAC26874	ES	0.986432	1.168
ATAC26875	ES	1.26901	1.33117
ATAC26876	ES	1.33647	2.4096
ATAC26877	ES	0.90646	1.17915
ATAC26878	ES	1.29432	1.50748
ATAC26879	ES	0.733571	0.782275
ATAC26881	ES	1.09578	1.53148
ATAC26882	ES	1.94692	2.19944
ATAC26883	ES	1.79604	1.95053
ATAC26884	ES	0.678793	0.869361
ATAC26885	ES	4.00898	4.54694
ATAC26886	ES	0.771529	1.04315
ATAC26887	ES	0.741956	0.89632
ATAC26911	ES	1.01608	0.988827
ATAC26912	ES	1.10438	1.41775
ATAC26913	ES	2.12355	1.6245
ATAC26914	ES	0.661794	0.613757
ATAC26915	ES	0.775589	0.54345
ATAC26916	ES	0.885392	1.17357
ATAC26917	ES	1.12992	1.83646
ATAC26918	ES	2.51705	1.51038
ATAC26919	ES	0.729106	0.787763
ATAC26920	ES	1.78337	2.96111
ATAC26934	ES	1.06239	1.16813
ATAC26935	ES	1.06192	1.09711
ATAC26936	ES	1.7982	1.20348
ATAC26937	ES	1.60589	1.12995
ATAC26938	ES	2.1679	1.76706
ATAC26939	ES	1.29999	0.711828
ATAC26940	ES	1.2226	1.43964
ATAC26941	ES	3.58951	1.44288
ATAC26944	ES	1.93522	2.27645
ATAC26945	ES	1.31534	1.16812
ATAC26946	ES	0.999216	1.2768
ATAC26947	ES	2.53963	2.69783
ATAC26948	ES	1.99838	1.43446
ATAC26949	ES	3.20849	2.60525
ATAC26950	ES	1.93939	1.98298
ATAC26951	ES	0.678793	0.717239
ATAC26952	ES	1.63334	1.05634
ATAC26953	ES	2.36723	2.27918
ATAC26954	ES	3.06731	3.15525
ATAC26955	ES	1.76418	0.947953
ATAC26956	ES	1.78741	1.06217
ATAC26957	ES	1.80005	1.34203
ATAC26958	ES	2.66856	3.05605
ATAC26959	ES	0.98225	0.961667
ATAC26964	ES	1.56419	1.54313
ATAC26965	ES	1.03286	1.07568
ATAC26966	ES	3.14099	3.48803
ATAC26967	ES	1.44614	1.3067
ATAC26968	ES	0.935678	0.744357
ATAC26969	ES	1.89718	2.05912
ATAC26970	ES	2.55489	1.95592
ATAC26971	ES	1.7887	1.19793
ATAC26972	ES	0.598695	0.581412
ATAC26973	ES	4.70508	4.65083
ATAC26974	ES	2.02376	1.57417
ATAC26975	ES	1.08634	0.79324
ATAC26976	ES	2.51982	1.93788
ATAC26977	ES	1.60608	1.36886
ATAC25972	ES	0.746235	0.88559
ATAC25973	ES	0.649263	0.614006
ATAC25974	ES	1.45861	0.809318
ATAC25975	ES	1.13824	1.21157
ATAC25976	ES	3.12652	3.46978
ATAC25977	ES	0.914529	1.37953
ATAC278	ES	1.37019	0.516223
ATAC279	ES	3.57024	3.71802
ATAC280	ES	0.885358	0.315098
ATAC281	ES	0.944337	0.41831
ATAC282	ES	0.885392	0.640988
ATAC283	ES	1.2685	0.907122
ATAC284	ES	4.95793	4.85444
ATAC29126	ES	3.12353	2.94976
ATAC29127	ES	0.931706	0.847573
ATAC29128	ES	1.67802	1.3038
ATAC29129	ES	0.657692	0.59229
ATAC29130	ES	2.49512	1.60765
ATAC29131	ES	3.02266	2.81692
ATAC29132	ES	3.61734	3.72439
ATAC29133	ES	2.33967	1.79835
ATAC29134	ES	3.00611	2.83069
ATAC29135	ES	0.952825	1.04854
ATAC29136	ES	3.53314	3.83047
ATAC29178	ES	1.11935	0.698184
ATAC29179	ES	3.67227	1.34198
ATAC29180	ES	1.84513	0.892764
ATAC29181	ES	0.763113	0.619488
ATAC29182	ES	2.92128	1.26303
ATAC29183	ES	0.699857	0.461846
ATAC29184	ES	1.45036	0.874819
ATAC29244	ES	2.17284	1.62941
ATAC29245	ES	0.918901	0.668225
ATAC29246	ES	3.57083	1.79754
ATAC29247	ES	1.8465	1.13554
ATAC29248	ES	0.855502	0.608307
ATAC29282	ES	0.902218	0.651909
ATAC29283	ES	0.744086	0.574558
ATAC29284	ES	1.01172	1.13526
ATAC29285	ES	3.59401	2.82112
ATAC29286	ES	4.14812	3.31576
ATAC29287	ES	0.876731	0.61386
ATAC29420	ES	6.25426	6.9053
ATAC29421	ES	0.88107	0.702239
ATAC29422	ES	1.96183	1.34562
ATAC29423	ES	1.13134	0.838619
ATAC29424	ES	0.860052	0.82045
ATAC29452	ES	3.92789	1.31675
ATAC29453	ES	0.855852	0.755033
ATAC29454	ES	3.46978	1.97226
ATAC29455	ES	4.96352	3.48805
ATAC29461	ES	0.910587	0.700945
ATAC29462	ES	1.45237	1.35831
ATAC29463	ES	1.0793	0.782352
ATAC29464	ES	3.35605	1.08116
ATAC29465	ES	0.746193	0.776864
ATAC29466	ES	0.906464	1.1084
ATAC29467	ES	4.11454	3.8141
ATAC29491	ES	0.902222	0.451007
ATAC29492	ES	1.53521	1.04236
ATAC29493	ES	0.98171	0.488839
ATAC29494	ES	0.944084	0.771312
ATAC29503	ES	1.3702	0.505297
ATAC29504	ES	1.63167	0.793262
ATAC29505	ES	0.720943	0.575903
ATAC29508	ES	0.758581	0.526921
ATAC29509	ES	0.813695	0.570491
ATAC29510	ES	1.10883	0.793219
ATAC29511	ES	1.1509	0.961743
ATAC29512	ES	1.89267	0.880021
ATAC29513	ES	2.97225	0.896347
ATAC29514	ES	0.978135	0.559728
ATAC29515	ES	1.26907	0.635712
ATAC27885	ES	1.90144	1.79841
ATAC27886	ES	0.940172	1.03235
ATAC27887	ES	5.71683	6.38928
ATAC27942	ES	1.09397	0.594922
ATAC27960	ES	1.55958	1.4557
ATAC27961	ES	1.82537	1.73028
ATAC27962	ES	2.03637	2.12988
ATAC27963	ES	1.59155	1.3284
ATAC27964	ES	1.1579	0.738762
ATAC27965	ES	0.868522	0.863895
ATAC27966	ES	1.07236	0.728093
ATAC27981	ES	1.02446	0.76609
ATAC27982	ES	1.08328	1.07562
ATAC27983	ES	0.965275	0.717033
ATAC27984	ES	1.02354	0.993647
ATAC27985	ES	1.40283	1.42607
ATAC27986	ES	1.43736	1.99361
ATAC27987	ES	0.868531	0.869366
ATAC27988	ES	0.935948	0.831355
ATAC27989	ES	0.965359	0.684547
ATAC27990	ES	1.29013	1.42344
ATAC27991	ES	0.746214	0.564971
ATAC27992	ES	0.940206	0.831322
ATAC27993	ES	0.994806	1.03749
ATAC27994	ES	2.46645	2.87972
ATAC27995	ES	3.15969	3.66157
ATAC27996	ES	2.09525	1.77931
ATAC27999	ES	1.93942	1.91257
ATAC28000	ES	1.58107	1.55391
ATAC28001	ES	1.44181	1.04851
ATAC28002	ES	1.33216	1.54275
ATAC28003	ES	1.97528	2.05106
ATAC28004	ES	1.29633	1.40717
ATAC28005	ES	0.973885	0.907241
ATAC28006	ES	1.07919	1.2385
ATAC28007	ES	1.09987	0.543124
ATAC28008	ES	1.24998	1.0839
ATAC28009	ES	1.10035	0.972338
ATAC28010	ES	1.1538	1.42165
ATAC28011	ES	2.53271	2.95971
ATAC28012	ES	1.71594	2.10262
ATAC28013	ES	2.41159	2.42323
ATAC28014	ES	1.53462	1.99395
ATAC28031	ES	2.34409	2.64057
ATAC28032	ES	0.940172	0.858586
ATAC28033	ES	0.708227	0.516043
ATAC28034	ES	2.37365	2.48288
ATAC28035	ES	0.834733	0.304265
ATAC28036	ES	1.17616	1.09197
ATAC28130	ES	1.28526	1.33574
ATAC28131	ES	1.06243	0.722694
ATAC28132	ES	1.16758	1.15702
ATAC28133	ES	0.99072	0.548763
ATAC28134	ES	3.22342	1.55296
ATAC28135	ES	5.61951	4.00926
ATAC28136	ES	1.28369	1.23868
ATAC28137	ES	1.13795	1.39576
ATAC28182	ES	1.79996	1.59715
ATAC28183	ES	0.843192	0.771676
ATAC28184	ES	1.4482	1.09474
ATAC28185	ES	1.31965	1.57563
ATAC303	ES	1.07509	0.880227
ATAC304	ES	1.38658	1.22193
ATAC305	ES	1.53045	1.62994
ATAC306	ES	0.945398	1.08792
ATAC307	ES	1.30358	0.964896
ATAC28217	ES	1.09823	0.964329
ATAC28218	ES	1.80401	0.97236
ATAC28219	ES	2.34107	2.51346
ATAC308	ES	2.22614	1.33111
ATAC28220	ES	2.73618	2.18036
ATAC28221	ES	0.982321	1.09742
ATAC28222	ES	1.97734	1.48326
ATAC28223	ES	1.834	0.874679
ATAC28224	ES	2.31442	2.30913
ATAC28225	ES	0.9401	0.956125
ATAC28226	ES	3.58709	3.25376
ATAC28227	ES	1.54728	1.98292
ATAC28228	ES	0.876596	0.423857
ATAC28229	ES	1.06648	0.831208
ATAC28230	ES	1.8593	2.06967
ATAC28231	ES	0.969484	1.05385
ATAC28232	ES	1.06196	0.754773
ATAC28233	ES	1.31536	0.630247
ATAC28234	ES	0.901935	0.695272
ATAC28235	ES	0.931677	0.684601
ATAC28236	ES	0.876883	0.559581
ATAC28237	ES	1.86721	1.78169
ATAC28238	ES	1.91824	1.89067
ATAC309	ES	2.05185	2.08801
ATAC310	ES	0.708257	0.570425
ATAC311	ES	1.15938	1.0812
ATAC312	ES	0.952855	0.706242
ATAC313	ES	1.9519	1.73312
ATAC28283	ES	1.64844	1.37472
ATAC28284	ES	1.20926	1.01544
ATAC28285	ES	1.01601	1.34203
ATAC28287	ES	1.00758	1.16813
ATAC28288	ES	1.17207	0.771464
ATAC28289	ES	2.28079	1.9532
ATAC28290	ES	2.12912	0.833963
ATAC28291	ES	1.425	0.880102
ATAC28292	ES	3.04235	3.88266
ATAC28342	ES	0.952779	1.24414
ATAC28343	ES	1.4208	1.28228
ATAC28378	ES	1.28134	1.22225
ATAC28383	ES	1.00735	1.12421
ATAC28384	ES	0.796704	1.08639
ATAC28385	ES	1.04076	0.771187
ATAC28386	ES	0.830585	0.603139
ATAC28387	ES	0.969614	0.918141
ATAC28388	ES	1.44177	0.915447
ATAC28389	ES	1.10666	1.001
ATAC28390	ES	1.23953	0.988838
ATAC28391	ES	1.10885	1.065
ATAC28392	ES	0.763079	0.744242
ATAC28393	ES	2.04682	1.89882
ATAC28406	ES	1.30273	1.19528
ATAC28407	ES	1.02011	1.18971
ATAC28408	ES	1.55994	2.23306
ATAC28409	ES	1.88797	2.02015
ATAC28410	ES	1.00326	1.26567
ATAC28411	ES	1.15465	1.08076
ATAC28412	ES	3.03338	3.9933
ATAC28413	ES	3.47411	4.48229
ATAC28421	ES	1.08053	1.36712
ATAC28422	ES	0.8854	0.918271
ATAC28423	ES	3.3512	3.46561
ATAC28424	ES	0.741754	0.782254
ATAC28425	ES	2.43864	3.41967
ATAC28426	ES	1.62735	1.4126
ATAC28427	ES	0.708295	0.733419
ATAC28428	ES	1.26038	1.48299
ATAC28429	ES	1.98576	2.24658
ATAC28430	ES	1.55988	1.03232
ATAC28431	ES	2.1418	2.97201
ATAC28432	ES	2.76935	3.25913
ATAC28433	ES	0.704091	0.901928
ATAC28434	ES	1.57259	1.7117
ATAC28435	ES	0.931719	1.55379
ATAC28436	ES	1.21817	2.53146
ATAC28437	ES	1.69902	1.80377
ATAC28438	ES	1.21004	1.18451
ATAC28439	ES	0.944363	1.43438
ATAC28440	ES	0.805178	1.10272
ATAC28441	ES	1.16312	1.70523
ATAC28442	ES	0.910693	1.05953
ATAC28443	ES	1.20141	1.26038
ATAC28444	ES	0.948618	0.91281
ATAC28445	ES	1.07074	0.955976
ATAC28447	ES	2.15756	2.05237
ATAC28448	ES	1.22264	1.45076
ATAC28449	ES	2.76974	1.88527
ATAC28450	ES	1.18893	1.97234
ATAC28451	ES	1.197	1.26027
ATAC28452	ES	1.99421	2.29289
ATAC28472	ES	1.21836	1.57552
ATAC331	ES	0.999005	0.765975
ATAC28473	ES	1.27708	1.47204
ATAC332	ES	0.775779	0.51067
ATAC333	ES	1.58467	1.44475
ATAC334	ES	0.761987	0.518841
ATAC335	ES	1.29414	0.70622
ATAC336	ES	0.822014	0.977853
ATAC28490	ES	1.40814	0.809551
ATAC28491	ES	2.00672	0.842113
ATAC28492	ES	1.01606	0.766095
ATAC28493	ES	1.09742	1.56444
ATAC28494	ES	1.02871	0.793333
ATAC28495	ES	0.842968	0.619211
ATAC28496	ES	2.48745	3.06424
ATAC337	ES	0.86004	0.820433
ATAC338	ES	2.22388	1.40466
ATAC339	ES	0.90188	1.29803
ATAC340	ES	2.10595	2.21126
ATAC341	ES	1.89279	2.15139
ATAC342	ES	0.755702	0.986062
ATAC343	ES	0.784211	1.08664
ATAC345	ES	1.0666	0.766166
ATAC346	ES	1.15936	1.35818
ATAC28544	ES	0.775775	0.722667
ATAC28545	ES	4.59502	5.20438
ATAC28546	ES	2.74051	3.28165
ATAC28547	ES	1.1045	1.04315
ATAC352	ES	2.29667	2.80205
ATAC353	ES	1.55576	2.05379
ATAC354	ES	1.30277	2.12433
ATAC355	ES	1.12941	1.36842
ATAC28565	ES	1.1424	1.39616
ATAC28566	ES	2.30622	2.5482
ATAC28574	ES	1.30487	0.988812
ATAC28575	ES	0.750474	0.619385
ATAC364	ES	0.704087	0.771556
ATAC365	ES	1.65905	2.14883
ATAC366	ES	3.84083	1.86638
ATAC28644	ES	0.813725	0.728002
ATAC28645	ES	0.85573	0.755196
ATAC28646	ES	1.47563	0.793235
ATAC28647	ES	2.23412	2.24921
ATAC28648	ES	0.855869	1.05956
ATAC28652	ES	0.809495	0.548681
ATAC28653	ES	2.17969	1.79838
ATAC28654	ES	1.93427	1.48826
ATAC28656	ES	0.893592	0.945334
ATAC28657	ES	1.29421	1.37454
ATAC28658	ES	3.16027	3.26676
ATAC28659	ES	3.3931	2.33839
ATAC28676	ES	2.17082	1.54273
ATAC28677	ES	1.29014	0.945367
ATAC28678	ES	3.6427	1.64629
ATAC28679	ES	0.83895	0.527101
ATAC27815	ES	2.44053	2.71052
ATAC27816	ES	5.15446	5.94456
ATAC28968	ES	0.96124	0.88559
ATAC28969	ES	1.35339	0.950941
ATAC28970	ES	0.880387	1.21287
ATAC28971	ES	2.12062	1.25236
ATAC28972	ES	0.898023	0.483586
ATAC28973	ES	1.45455	0.603107
ATAC28974	ES	1.27737	1.04855
ATAC28975	ES	3.45298	2.16965
ATAC394	ES	1.47652	1.09331
ATAC395	ES	1.12849	0.88375
ATAC396	ES	2.02365	2.27641
ATAC397	ES	1.39125	1.36924
ATAC398	ES	1.87613	0.738983
ATAC399	ES	1.7771	1.90444
ATAC29013	ES	1.03573	0.854847
ATAC29014	ES	2.7315	2.42286
ATAC29015	ES	4.23934	4.01515
ATAC29016	ES	0.910558	0.858428
ATAC29017	ES	0.85167	0.358516
ATAC29034	ES	1.24378	0.575925
ATAC29035	ES	3.26582	3.216
ATAC29036	ES	1.13408	0.516158
ATAC29041	ES	0.68715	0.74428
ATAC29042	ES	2.33941	1.05393
ATAC29043	ES	1.51782	1.3801
ATAC29044	ES	1.11719	0.570475
ATAC29045	ES	0.68715	0.679211
ATAC29046	ES	0.640861	0.760624
ATAC29047	ES	1.47915	1.60747
ATAC29048	ES	1.10829	1.24338
ATAC29049	ES	1.88042	1.64628
ATAC29050	ES	2.37305	2.41694
ATAC29051	ES	2.45649	2.56979
ATAC29052	ES	1.13411	1.52129
ATAC29053	ES	1.79589	1.12457
ATAC29054	ES	1.03718	0.472762
ATAC29055	ES	1.5684	1.32567
ATAC29056	ES	0.678755	0.841993
ATAC29057	ES	1.57678	1.32031
ATAC29059	ES	0.661921	0.43461
ATAC29060	ES	2.03633	1.6004
ATAC29061	ES	2.18294	1.64
ATAC29062	ES	1.02453	0.559668
ATAC29063	ES	1.90558	1.69672
ATAC29065	ES	2.01082	1.6296
ATAC29066	ES	1.54297	0.543314
ATAC29067	ES	1.19268	1.51548
ATAC29088	ES	2.86488	3.30855
ATAC29089	ES	0.767262	0.695321
ATAC29090	ES	1.18452	0.934359
ATAC29094	ES	1.99842	0.99418
ATAC29095	ES	2.10344	1.69525
ATAC29096	ES	1.5175	0.776761
ATAC29097	ES	1.64375	0.874516
ATAC29098	ES	0.661904	0.440151
ATAC29099	ES	2.62899	2.27491
ATAC30811	ES	1.09167	1.16775
ATAC30812	ES	2.63086	2.14613
ATAC30813	ES	0.800975	0.744237
ATAC30814	ES	0.767304	0.543363
ATAC30815	ES	0.682998	0.516109
ATAC30816	ES	3.24644	1.98862
ATAC30817	ES	8.7727	6.12382
