ATAC_peak	RT	ATAC_OCT4.ON	ATAC_OCT4.OFF
ATAC22263	ES	4.07867	1.39077
ATAC22317	ES	1.18051	0.608481
ATAC22318	ES	1.26883	1.11179
ATAC22319	ES	0.779995	0.402064
ATAC22320	ES	0.91063	0.277185
ATAC22321	ES	1.23948	1.5538
ATAC22327	ES	0.97746	1.12937
ATAC22328	ES	1.10043	1.2932
ATAC22329	ES	3.95847	3.73776
ATAC22330	ES	2.90414	3.18858
ATAC21894	ES	0.81156	0.700872
ATAC21895	ES	1.34487	0.836619
ATAC21896	ES	1.07508	0.673821
ATAC21897	ES	1.22264	0.912799
ATAC21898	ES	0.922987	0.689833
ATAC21899	ES	3.0778	3.27621
ATAC21900	ES	1.38666	1.10819
ATAC21901	ES	1.85471	1.28472
ATAC22340	ES	1.57239	1.71685
ATAC22341	ES	0.828364	0.518801
ATAC22342	ES	1.26029	0.961455
ATAC22343	ES	1.26901	1.65165
ATAC22348	ES	1.68648	1.58653
ATAC22349	ES	1.26907	0.891083
ATAC22350	ES	3.19795	3.56423
ATAC21902	ES	2.0442	0.950697
ATAC22359	ES	2.26725	1.75406
ATAC22360	ES	1.94358	2.5699
ATAC21903	ES	2.04667	1.61886
ATAC22361	ES	2.46575	2.83527
ATAC21904	ES	1.84015	1.73314
ATAC21905	ES	0.889595	0.890985
ATAC21906	ES	1.86103	1.36336
ATAC21907	ES	2.86906	2.14886
ATAC21908	ES	1.36601	1.37453
ATAC21909	ES	1.18474	0.934592
ATAC21910	ES	2.16243	0.928757
ATAC21911	ES	3.5821	4.54893
ATAC22442	ES	2.28474	1.85782
ATAC22443	ES	1.34912	0.548725
ATAC22444	ES	1.15945	1.42899
ATAC22445	ES	2.27673	1.00668
ATAC22446	ES	1.83393	0.755262
ATAC22447	ES	0.805258	1.07032
ATAC21924	ES	0.712511	0.526992
ATAC21925	ES	5.2427	6.01724
ATAC21926	ES	6.67418	7.2425
ATAC22526	ES	1.17202	1.09213
ATAC22527	ES	0.775631	0.787757
ATAC22528	ES	1.03715	0.76064
ATAC22529	ES	1.01598	0.833935
ATAC22530	ES	1.56833	2.29271
ATAC22531	ES	1.99824	1.96096
ATAC22532	ES	2.07357	2.87853
ATAC22533	ES	1.59784	1.02688
ATAC22534	ES	0.851666	0.814984
ATAC22535	ES	0.763054	0.842058
ATAC22536	ES	1.07491	1.05389
ATAC22537	ES	1.46708	1.24961
ATAC22541	ES	0.969686	1.33663
ATAC22542	ES	0.796839	0.45098
ATAC22543	ES	1.22266	1.92338
ATAC22544	ES	0.843196	1.51039
ATAC22545	ES	0.733587	0.809633
ATAC22546	ES	1.86771	2.75492
ATAC22547	ES	2.44709	2.20037
ATAC22550	ES	0.834792	0.554268
ATAC22551	ES	1.23936	1.45592
ATAC22552	ES	0.767283	0.880091
ATAC22553	ES	0.746202	1.07032
ATAC22560	ES	0.729384	0.825802
ATAC22561	ES	1.28164	1.52669
ATAC22562	ES	3.22079	1.68959
ATAC22563	ES	0.792488	0.646487
ATAC22564	ES	1.94364	2.72203
ATAC22565	ES	1.33232	2.1407
ATAC22567	ES	1.2311	1.40727
ATAC22568	ES	1.50515	2.01027
ATAC22569	ES	1.49672	1.78202
ATAC22571	ES	1.1763	1.46701
ATAC22572	ES	1.39105	1.4883
ATAC22573	ES	0.881066	0.983204
ATAC22574	ES	1.2015	1.30378
ATAC22583	ES	1.18053	1.18446
ATAC22584	ES	2.86269	4.03678
ATAC22585	ES	1.40816	1.82013
ATAC22586	ES	1.31535	1.45606
ATAC22587	ES	2.39898	3.0481
ATAC22588	ES	2.13724	2.55876
ATAC22589	ES	1.07925	1.02131
ATAC22590	ES	0.661938	0.527003
ATAC22591	ES	1.24794	1.2171
ATAC22592	ES	1.7664	1.7221
ATAC22593	ES	2.44228	1.65352
ATAC22594	ES	0.948639	1.0921
ATAC22595	ES	1.28134	1.20036
ATAC22596	ES	1.25158	1.24339
ATAC22597	ES	0.931727	0.809519
ATAC22598	ES	2.55498	3.28714
ATAC22601	ES	1.78417	0.787721
ATAC22602	ES	1.07477	0.727671
ATAC22603	ES	1.11707	0.733316
ATAC22604	ES	2.31884	2.77634
ATAC22606	ES	2.85853	3.0969
ATAC22607	ES	0.860099	0.260803
ATAC22608	ES	1.4503	0.77154
ATAC22609	ES	1.49813	1.50859
ATAC22610	ES	0.981993	0.776783
ATAC22624	ES	0.986377	0.575946
ATAC22625	ES	1.19716	0.953266
ATAC22626	ES	2.63886	2.44203
ATAC22627	ES	3.65951	2.36087
ATAC22628	ES	4.35531	2.0484
ATAC22629	ES	1.02976	0.620788
ATAC22630	ES	5.09309	4.37921
ATAC22631	ES	2.12675	2.30594
ATAC22632	ES	0.994928	0.825775
ATAC22633	ES	1.30271	0.829435
ATAC22634	ES	0.839001	0.700956
ATAC22635	ES	2.64141	2.51566
ATAC22636	ES	3.07042	1.71372
ATAC22637	ES	0.853029	0.927252
ATAC22638	ES	1.70748	1.57569
ATAC22655	ES	0.931411	0.684319
ATAC22656	ES	1.64631	1.72761
ATAC22657	ES	1.31541	1.13008
ATAC22658	ES	1.65684	0.849393
ATAC22659	ES	4.94687	3.77693
ATAC22660	ES	1.21423	1.07584
ATAC22661	ES	0.76711	0.787757
ATAC22662	ES	2.07852	1.03785
ATAC22663	ES	1.15943	0.85312
ATAC22664	ES	4.62304	3.50915
ATAC22665	ES	2.16642	1.11893
